ID,Latitude,Longitude,TelemDate,AID,Attribute
350,42.10473,-108.94917,4/27/2015 2:31,Jet,Migration
351,42.11631,-108.9824,4/27/2015 5:16,Jet,Migration
352,42.11666,-108.9839,4/27/2015 8:01,Jet,Migration
353,42.11668,-108.98394,4/27/2015 10:47,Jet,Migration
354,42.13919,-109.00959,4/27/2015 13:31,Jet,Migration
355,42.17161,-109.00779,4/27/2015 16:16,Jet,Migration
356,42.20017,-109.01013,4/27/2015 19:01,Jet,Migration
357,42.28098,-109.02872,4/27/2015 21:46,Jet,Migration
358,42.30919,-109.03997,4/27/2015 23:46,Jet,Migration
359,42.32244,-109.05149,4/28/2015 3:01,Jet,Migration
360,42.33247,-109.05343,4/28/2015 5:46,Jet,Migration
361,42.34331,-109.05261,4/28/2015 8:31,Jet,Migration
362,42.347,-109.05249,4/28/2015 11:16,Jet,Migration
363,42.37899,-109.06268,4/28/2015 14:01,Jet,Migration
364,42.40829,-109.0903,4/28/2015 16:46,Jet,Migration
365,42.42773,-109.10933,4/28/2015 19:31,Jet,Migration
366,42.43213,-109.11637,4/28/2015 22:16,Jet,Migration
367,42.44139,-109.12642,4/28/2015 23:45,Jet,Migration
368,42.44146,-109.12661,4/29/2015 0:00,Jet,Migration
369,42.4417,-109.12677,4/29/2015 2:46,Jet,Migration
370,42.44155,-109.12891,4/29/2015 5:31,Jet,Migration
371,42.44173,-109.1307,4/29/2015 8:16,Jet,Migration
372,42.44141,-109.13372,4/29/2015 11:01,Jet,Migration
373,42.44097,-109.13385,4/29/2015 13:46,Jet,Migration
374,42.44072,-109.13883,4/29/2015 16:31,Jet,Migration
375,42.44336,-109.13653,4/29/2015 19:17,Jet,Migration
376,42.44701,-109.13765,4/29/2015 22:01,Jet,Migration
377,42.44633,-109.1363,4/30/2015 0:31,Jet,Migration
378,42.44635,-109.13617,4/30/2015 3:16,Jet,Migration
379,42.45807,-109.13576,4/30/2015 6:01,Jet,Migration
380,42.46489,-109.15045,4/30/2015 8:46,Jet,Migration
381,42.46446,-109.15073,4/30/2015 11:31,Jet,Migration
382,42.46621,-109.1538,4/30/2015 14:16,Jet,Migration
383,42.4692,-109.15433,4/30/2015 17:01,Jet,Migration
384,42.47396,-109.15901,4/30/2015 19:46,Jet,Migration
385,42.47403,-109.15898,4/30/2015 22:31,Jet,Migration
386,42.4761,-109.15912,5/1/2015 1:01,Jet,Migration
387,42.47463,-109.1556,5/1/2015 3:46,Jet,Migration
388,42.47328,-109.16699,5/1/2015 6:31,Jet,Migration
389,42.47688,-109.17623,5/1/2015 9:16,Jet,Migration
390,42.48146,-109.18526,5/1/2015 12:02,Jet,Migration
391,42.48206,-109.18593,5/1/2015 14:46,Jet,Migration
392,42.48276,-109.18566,5/1/2015 17:31,Jet,Migration
393,42.48491,-109.19132,5/1/2015 20:16,Jet,Migration
394,42.48578,-109.19121,5/1/2015 23:01,Jet,Migration
395,42.48578,-109.19113,5/2/2015 1:31,Jet,Migration
396,42.48841,-109.21529,5/2/2015 4:16,Jet,Migration
397,42.50894,-109.25485,5/2/2015 7:01,Jet,Migration
398,42.5184,-109.27402,5/2/2015 9:46,Jet,Migration
399,42.526,-109.27466,5/2/2015 12:31,Jet,Migration
400,42.53086,-109.28011,5/2/2015 15:16,Jet,Migration
401,42.53015,-109.28609,5/2/2015 18:01,Jet,Migration
402,42.54185,-109.30884,5/2/2015 20:46,Jet,Migration
403,42.54795,-109.31227,5/2/2015 23:30,Jet,Migration
404,42.55694,-109.32633,5/3/2015 2:01,Jet,Migration
405,42.57783,-109.34899,5/3/2015 4:46,Jet,Migration
406,42.60289,-109.36687,5/3/2015 7:31,Jet,Migration
407,42.63711,-109.39911,5/3/2015 10:16,Jet,Migration
408,42.64356,-109.4086,5/3/2015 13:01,Jet,Migration
409,42.64448,-109.40953,5/3/2015 15:46,Jet,Migration
410,42.64903,-109.42144,5/3/2015 18:31,Jet,Migration
411,42.6531,-109.43125,5/3/2015 21:16,Jet,Migration
412,42.65404,-109.43352,5/3/2015 23:46,Jet,Migration
413,42.65391,-109.43347,5/4/2015 2:31,Jet,Migration
414,42.65466,-109.43207,5/4/2015 5:16,Jet,Migration
415,42.65575,-109.43338,5/4/2015 8:01,Jet,Migration
416,42.6547,-109.43524,5/4/2015 10:46,Jet,Migration
417,42.65568,-109.43736,5/4/2015 13:30,Jet,Migration
418,42.6591,-109.43763,5/4/2015 16:16,Jet,Migration
419,42.6598,-109.44077,5/4/2015 19:01,Jet,Migration
420,42.66376,-109.44867,5/4/2015 21:46,Jet,Migration
421,42.68778,-109.46231,5/4/2015 23:46,Jet,Migration
